ID,Similarity,A,B
14,4.27312295,"What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…","Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?"
15,3.7837645137,"What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…","Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study."
16,3.8850040406,"What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…","Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?"
17,3.6000348769,"What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…","Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?"
18,3.8596909342,"What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…","What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?"
19,4.2344520521,"What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…","Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?"
20,3.9550280493,"What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…","What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?"
21,3.9588421353,"What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…","Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?"
22,3.2207248026,"What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…","And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?"
23,3.7394747239,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","Okay. What would you say that the overall, ideal, end-state towards which the library strives is?"
24,4.2640387301,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…"
26,4.2649320676,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study."
27,4.3295140586,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?"
28,4.0509010734,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?"
29,4.2417944962,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?"
30,4.5786585378,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?"
31,3.8289255362,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?"
32,4.2681599022,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?"
33,3.7447816308,"Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?","And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?"
34,2.9416800917,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","Okay. What would you say that the overall, ideal, end-state towards which the library strives is?"
35,3.5117126927,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…"
36,4.0221965256,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?"
38,3.7501048347,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?"
39,3.3752558138,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?"
40,3.5730094297,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?"
41,3.9173430208,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?"
42,3.0048254569,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?"
43,3.519146906,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?"
44,3.2693806658,"Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study.","And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?"
45,3.9766440316,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","Okay. What would you say that the overall, ideal, end-state towards which the library strives is?"
46,3.6626154279,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…"
47,4.1975188442,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?"
48,3.829264405,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study."
50,4.2553629215,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?"
51,4.3318812297,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?"
52,4.0619680811,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?"
53,4.0290289423,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?"
54,4.4404274091,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?"
55,3.4574029064,"Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?","And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?"
56,4.1326233013,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","Okay. What would you say that the overall, ideal, end-state towards which the library strives is?"
57,3.3857614525,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…"
58,3.9046603375,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?"
59,3.4563517698,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study."
60,4.3115477163,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?"
62,4.6437342284,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?"
63,4.2282862642,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?"
64,4.1381423099,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?"
65,4.1585725047,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?"
66,2.9687759647,"Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?","And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?"
67,4.3094132118,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","Okay. What would you say that the overall, ideal, end-state towards which the library strives is?"
68,3.6977833797,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…"
69,4.1398587079,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?"
70,3.6882944724,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study."
71,4.3733450943,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?"
72,4.6396090676,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?"
74,4.3421042886,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?"
75,4.3565986755,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?"
76,4.351082741,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?"
77,3.2024513913,"What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?","And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?"
78,3.8147526356,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","Okay. What would you say that the overall, ideal, end-state towards which the library strives is?"
79,4.168222304,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…"
80,4.5545705723,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?"
81,4.1051197994,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study."
82,4.1583606186,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?"
83,4.2676933906,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?"
84,4.3815143868,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?"
86,4.0522580707,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?"
87,4.0778432908,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?"
88,3.5076009017,"Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?","And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?"
89,4.6092085766,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","Okay. What would you say that the overall, ideal, end-state towards which the library strives is?"
90,3.9566574572,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…"
91,3.842919319,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?"
92,3.2131122597,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study."
93,4.2211827409,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?"
94,4.263238951,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?"
95,4.4555296406,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?"
96,4.136113111,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?"
98,4.5605351794,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?"
99,2.9596789061,"What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?","And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?"
100,4.2973242897,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","Okay. What would you say that the overall, ideal, end-state towards which the library strives is?"
101,3.8941606701,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…"
102,4.2375390046,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?"
103,3.7330729801,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study."
104,4.5162564963,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?"
105,4.2255972589,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?"
106,4.4043490754,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?"
107,4.0997881217,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?"
108,4.5261807603,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?"
110,3.0685484974,"Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?","And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?"
111,3.0248588926,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","Okay. What would you say that the overall, ideal, end-state towards which the library strives is?"
112,3.0781120953,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","What would you say that the overall, ideal, end-state towards which the organization strives? In other words what's the library's vision? Some of this may seem familiar…"
113,3.6717631451,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","Um, okay, question number 1. What is the overall, ideal, end-state towards which the organization, in this case the library, strives? To put it another way, what's the vision of the library?"
114,3.4250575566,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","Mm hm. Yup. That, that is the goal. Okay, um, and then please feel free to ask me to repeat myself and please shout a little bit for the benefit for the tape recorder and the poor soul I'm gonna get to transcribe this all later. Um, okay. Question number 1… what is the overall, ideal, end-state towards which the organization, in this case the library, strives? Or to put it another way, what's the library's vision? And I know you guys just did the strategic study."
115,3.6186432732,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","Um, okay, so question number 1. Um, what is the overall, ideal, end-state towards which the library as an organization strives? Or the short version, what would you say that the library's vision is?"
116,3.0761308272,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","Alright, um, what would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the vision of the library is?"
117,3.2714233578,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","What would you say that the overall, ideal, end-state towards which the library strives is? Or to put it another way, what would you say that the library's vision is?"
118,3.5167880702,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","Um, what would you say that the overall, ideal, end-state towards which the organization, aka the library, strives for? To put it another way, what's the library's vision?"
119,2.8495006951,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","What would you say that the overall, ideal, end-state towards which the library strives is? What's the library's vision?"
120,3.0652020525,"And do the best you can.  Okay, what would you describe as the overall ideal end state towards which the library, as an institution, strives?","Um, okay, so question number 1. What would you say that the overall, ideal, end-state toward which the library strives is? What's the library's vision?"
