ID,Similarity,A,B
12,4.0189031437,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","I think of it as sort of like an, um, oh, ah, it is sort of an information clearing house. We want to sort of be all things to all people; students, public, faculty. But it's also a place, so a place where people come to do all those things. It's not just where you acquire all the things but where, ya know, you come to actually find out the information. What, even if the information is not in house."
14,3.5812397401,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that."
15,3.5071029751,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services."
16,2.4963006923,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","To provide information to students. In terms of research access or research access, either one. Access to information?"
17,3.3344013032,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","I think it's to be an integral part of the, of Towson University, um, the whole culture and identity. Um, it means to (inaudible), evolve, and change as, as that institute evolves and changes and because change is the only constant from now on."
18,3.2657456371,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","I would say that our vision or ultimate goal is to support the study that goes on here at Towson and to help develop information literacy, um, among students, staff, and faculty."
19,3.7684624162,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","Our vision is to be, ah, a, hmm, let me think here… We actually have a formal vision statement, which I have not memorized. In general our vision is to be, um, high qual... To be and to provide high quality support to our students, our faculty, our staff. In other words the, the overall Towson University community. To provide high quality support services, resources, um, to further the academic and scholarly endeavors of our community."
20,3.8242281078,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","Our vision is to ultimately… Um, for students, we have, it's a parallel vision. For students the ultimate vision is to, um, be sure that they are information independent in a sense that they are able to find the information that they need to make critical judgements about what they do find and then to be able to use the information for the purpose of solving an intellectual career or personal problem. So that's, that's, that's our end-game. That's what we really want to do. I'm sorry, and then for the faculty we want to, um, help them be successful at the teaching and research and publication."
21,3.8231152408,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","Oh my gosh, well, we are strategic planning now. We've gotten that written down somewhere but things that are in the mission and the vision include access to materials, making them available, making them discoverable, findable, making them things that can be easily delivered, and most of these things are, ah ya know, information that people want for lifelong learning, information that people want for specific research interests, ah, and also to facilitate communications in the forms of scholarly communication or publishing or, ya know, whatever, so we're supporting academic enterprise as a place to find and access information, process it, and analyze it, and presumably produce it in some cases. Concise isn't it?"
22,3.6192244625,"That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ....","The overall state? Oh, I think as being a research center for both students and faculty. The place where they turn for their research needs. The portal, for lack of a better term. I think that we really worked hard to get a mission statement that was over-arching. It didn’t make us appear to be information geeks.  We acknowledge that we want to be a gathering place for students. But also, that we serve as the portal.  The place where they can go to get information, they can go to ask about information, and they can go to be trained in how to find information and evaluate it."
23,3.6041858982,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","I think of it as sort of like an, um, oh, ah, it is sort of an information clearing house. We want to sort of be all things to all people; students, public, faculty. But it's also a place, so a place where people come to do all those things. It's not just where you acquire all the things but where, ya know, you come to actually find out the information. What, even if the information is not in house."
24,3.599815138,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ...."
26,3.4363221317,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services."
27,2.5643066417,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","To provide information to students. In terms of research access or research access, either one. Access to information?"
28,3.0802311635,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","I think it's to be an integral part of the, of Towson University, um, the whole culture and identity. Um, it means to (inaudible), evolve, and change as, as that institute evolves and changes and because change is the only constant from now on."
29,3.2857513037,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","I would say that our vision or ultimate goal is to support the study that goes on here at Towson and to help develop information literacy, um, among students, staff, and faculty."
30,3.7309095149,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","Our vision is to be, ah, a, hmm, let me think here… We actually have a formal vision statement, which I have not memorized. In general our vision is to be, um, high qual... To be and to provide high quality support to our students, our faculty, our staff. In other words the, the overall Towson University community. To provide high quality support services, resources, um, to further the academic and scholarly endeavors of our community."
31,3.7850183838,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","Our vision is to ultimately… Um, for students, we have, it's a parallel vision. For students the ultimate vision is to, um, be sure that they are information independent in a sense that they are able to find the information that they need to make critical judgements about what they do find and then to be able to use the information for the purpose of solving an intellectual career or personal problem. So that's, that's, that's our end-game. That's what we really want to do. I'm sorry, and then for the faculty we want to, um, help them be successful at the teaching and research and publication."
32,3.8293899238,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","Oh my gosh, well, we are strategic planning now. We've gotten that written down somewhere but things that are in the mission and the vision include access to materials, making them available, making them discoverable, findable, making them things that can be easily delivered, and most of these things are, ah ya know, information that people want for lifelong learning, information that people want for specific research interests, ah, and also to facilitate communications in the forms of scholarly communication or publishing or, ya know, whatever, so we're supporting academic enterprise as a place to find and access information, process it, and analyze it, and presumably produce it in some cases. Concise isn't it?"
33,3.601033175,"Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that.","The overall state? Oh, I think as being a research center for both students and faculty. The place where they turn for their research needs. The portal, for lack of a better term. I think that we really worked hard to get a mission statement that was over-arching. It didn’t make us appear to be information geeks.  We acknowledge that we want to be a gathering place for students. But also, that we serve as the portal.  The place where they can go to get information, they can go to ask about information, and they can go to be trained in how to find information and evaluate it."
34,3.6002715777,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","I think of it as sort of like an, um, oh, ah, it is sort of an information clearing house. We want to sort of be all things to all people; students, public, faculty. But it's also a place, so a place where people come to do all those things. It's not just where you acquire all the things but where, ya know, you come to actually find out the information. What, even if the information is not in house."
35,3.5965257683,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ...."
36,3.4185362094,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that."
38,2.1169949243,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","To provide information to students. In terms of research access or research access, either one. Access to information?"
39,3.2178358451,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","I think it's to be an integral part of the, of Towson University, um, the whole culture and identity. Um, it means to (inaudible), evolve, and change as, as that institute evolves and changes and because change is the only constant from now on."
40,3.0809441943,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","I would say that our vision or ultimate goal is to support the study that goes on here at Towson and to help develop information literacy, um, among students, staff, and faculty."
41,3.6050765593,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","Our vision is to be, ah, a, hmm, let me think here… We actually have a formal vision statement, which I have not memorized. In general our vision is to be, um, high qual... To be and to provide high quality support to our students, our faculty, our staff. In other words the, the overall Towson University community. To provide high quality support services, resources, um, to further the academic and scholarly endeavors of our community."
42,3.7347209644,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","Our vision is to ultimately… Um, for students, we have, it's a parallel vision. For students the ultimate vision is to, um, be sure that they are information independent in a sense that they are able to find the information that they need to make critical judgements about what they do find and then to be able to use the information for the purpose of solving an intellectual career or personal problem. So that's, that's, that's our end-game. That's what we really want to do. I'm sorry, and then for the faculty we want to, um, help them be successful at the teaching and research and publication."
43,3.5876652006,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","Oh my gosh, well, we are strategic planning now. We've gotten that written down somewhere but things that are in the mission and the vision include access to materials, making them available, making them discoverable, findable, making them things that can be easily delivered, and most of these things are, ah ya know, information that people want for lifelong learning, information that people want for specific research interests, ah, and also to facilitate communications in the forms of scholarly communication or publishing or, ya know, whatever, so we're supporting academic enterprise as a place to find and access information, process it, and analyze it, and presumably produce it in some cases. Concise isn't it?"
44,3.6998354957,"Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services.","The overall state? Oh, I think as being a research center for both students and faculty. The place where they turn for their research needs. The portal, for lack of a better term. I think that we really worked hard to get a mission statement that was over-arching. It didn’t make us appear to be information geeks.  We acknowledge that we want to be a gathering place for students. But also, that we serve as the portal.  The place where they can go to get information, they can go to ask about information, and they can go to be trained in how to find information and evaluate it."
45,2.9615145376,"To provide information to students. In terms of research access or research access, either one. Access to information?","I think of it as sort of like an, um, oh, ah, it is sort of an information clearing house. We want to sort of be all things to all people; students, public, faculty. But it's also a place, so a place where people come to do all those things. It's not just where you acquire all the things but where, ya know, you come to actually find out the information. What, even if the information is not in house."
46,2.8105657331,"To provide information to students. In terms of research access or research access, either one. Access to information?","That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ...."
47,2.6157599287,"To provide information to students. In terms of research access or research access, either one. Access to information?","Oh, um, my understanding is that the vision of the library is to provide access to information to support the research and teaching needs of the campus community. Sure, okay, um, I, I don't know that I can really elaborate on that primarily, um, except that, um, ya know, our, our role here in the, um, in special collections is to, um, do all, ya know, provide access to information for teaching and research but also to preserve, ya know, rare and unique materials. Um, and I think that a really big part of that vision is, um, has to do with accessibility to resources, to, um, ya know, the reference librarians to the physical library itself, um, and just making sure that we are, ya know, a very bustling hub of activity as far as that's concerned, um, just in relation to, ya know, providing a place for students to study and, um, ya know, making resources and space available and stuff like that."
48,2.469544202,"To provide information to students. In terms of research access or research access, either one. Access to information?","Yeah. Well I think it is to, um, provide effective and efficient service for our users, um, in a friendly manner. I think that we also strive to be on the cutting edge as far as using technology to deliver those services."
50,2.8694351661,"To provide information to students. In terms of research access or research access, either one. Access to information?","I think it's to be an integral part of the, of Towson University, um, the whole culture and identity. Um, it means to (inaudible), evolve, and change as, as that institute evolves and changes and because change is the only constant from now on."
51,1.8731731658,"To provide information to students. In terms of research access or research access, either one. Access to information?","I would say that our vision or ultimate goal is to support the study that goes on here at Towson and to help develop information literacy, um, among students, staff, and faculty."
52,3.2217960453,"To provide information to students. In terms of research access or research access, either one. Access to information?","Our vision is to be, ah, a, hmm, let me think here… We actually have a formal vision statement, which I have not memorized. In general our vision is to be, um, high qual... To be and to provide high quality support to our students, our faculty, our staff. In other words the, the overall Towson University community. To provide high quality support services, resources, um, to further the academic and scholarly endeavors of our community."
53,2.6846004554,"To provide information to students. In terms of research access or research access, either one. Access to information?","Our vision is to ultimately… Um, for students, we have, it's a parallel vision. For students the ultimate vision is to, um, be sure that they are information independent in a sense that they are able to find the information that they need to make critical judgements about what they do find and then to be able to use the information for the purpose of solving an intellectual career or personal problem. So that's, that's, that's our end-game. That's what we really want to do. I'm sorry, and then for the faculty we want to, um, help them be successful at the teaching and research and publication."
54,2.8263722516,"To provide information to students. In terms of research access or research access, either one. Access to information?","Oh my gosh, well, we are strategic planning now. We've gotten that written down somewhere but things that are in the mission and the vision include access to materials, making them available, making them discoverable, findable, making them things that can be easily delivered, and most of these things are, ah ya know, information that people want for lifelong learning, information that people want for specific research interests, ah, and also to facilitate communications in the forms of scholarly communication or publishing or, ya know, whatever, so we're supporting academic enterprise as a place to find and access information, process it, and analyze it, and presumably produce it in some cases. Concise isn't it?"
55,2.9633594905,"To provide information to students. In terms of research access or research access, either one. Access to information?","The overall state? Oh, I think as being a research center for both students and faculty. The place where they turn for their research needs. The portal, for lack of a better term. I think that we really worked hard to get a mission statement that was over-arching. It didn’t make us appear to be information geeks.  We acknowledge that we want to be a gathering place for students. But also, that we serve as the portal.  The place where they can go to get information, they can go to ask about information, and they can go to be trained in how to find information and evaluate it."
56,3.8518280787,"I think it's to be an integral part of the, of Towson University, um, the whole culture and identity. Um, it means to (inaudible), evolve, and change as, as that institute evolves and changes and because change is the only constant from now on.","I think of it as sort of like an, um, oh, ah, it is sort of an information clearing house. We want to sort of be all things to all people; students, public, faculty. But it's also a place, so a place where people come to do all those things. It's not just where you acquire all the things but where, ya know, you come to actually find out the information. What, even if the information is not in house."
57,3.5845511235,"I think it's to be an integral part of the, of Towson University, um, the whole culture and identity. Um, it means to (inaudible), evolve, and change as, as that institute evolves and changes and because change is the only constant from now on.","That's okay. I, I think what I understand is the library's vision is to create an environment that's accessible and inclusive and, ah, that encourages people not only to, ah, learn, ah, at their own pace and on their own, in their own way but also to, ah, reach out for help and to provide assistance and teaching for true people that need it and in the case advising to some classes on whether they don't think they need it or not cause it's mandatory. But, I, I think it's, ah, it's definitely along those lines of an open inclusive environment. Diversity ...."
